"VARIABLE_NAME","VARIABLE_VALUE"
"WSREP_CAUSAL_READS","OFF"
"PERFORMANCE_SCHEMA","OFF"
"SQL_MODE","STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION"
"PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_LONG_SIZE","-1"
"SLAVE_TYPE_CONVERSIONS",""
"PERFORMANCE_SCHEMA_MAX_COND_CLASSES","90"
"BINLOG_CACHE_SIZE","32768"
"PERFORMANCE_SCHEMA_MAX_COND_INSTANCES","-1"
"KEY_CACHE_BLOCK_SIZE","1024"
"PERFORMANCE_SCHEMA_MAX_RWLOCK_CLASSES","40"
"INNODB_FLUSH_LOG_AT_TIMEOUT","1"
"MAX_SORT_LENGTH","1024"
"INNODB_ENCRYPT_TEMPORARY_TABLES","OFF"
"COLUMN_COMPRESSION_ZLIB_LEVEL","6"
"PERFORMANCE_SCHEMA_HOSTS_SIZE","-1"
"PERFORMANCE_SCHEMA_MAX_MUTEX_INSTANCES","-1"
"MAX_INSERT_DELAYED_THREADS","20"
"PERFORMANCE_SCHEMA_MAX_RWLOCK_INSTANCES","-1"
"SLOW_QUERY_LOG_FILE","fv-az400-771-slow.log"
"PERFORMANCE_SCHEMA_MAX_MUTEX_CLASSES","200"
"INNODB_STATS_TRANSIENT_SAMPLE_PAGES","8"
"NET_WRITE_TIMEOUT","60"
"SLOW_LAUNCH_TIME","2"
"PERFORMANCE_SCHEMA_ACCOUNTS_SIZE","-1"
"INSERT_ID","0"
"LC_MESSAGES_DIR","/opt/hostedtoolcache/mariadb/10.4.31/x64/share"
"INNODB_ADAPTIVE_HASH_INDEX_PARTS","8"
"PERFORMANCE_SCHEMA_MAX_DIGEST_LENGTH","1024"
"THREAD_POOL_OVERSUBSCRIBE","3"
"PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_SIZE","-1"
"ERROR_COUNT","0"
"PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_SIZE","-1"
"INNODB_FT_NUM_WORD_OPTIMIZE","2000"
"GTID_BINLOG_POS",""
"WSREP_DRUPAL_282555_WORKAROUND","OFF"
"PERFORMANCE_SCHEMA_MAX_THREAD_INSTANCES","-1"
"TMP_MEMORY_TABLE_SIZE","16777216"
"BULK_INSERT_BUFFER_SIZE","8388608"
"REPORT_HOST",""
"RPL_SEMI_SYNC_SLAVE_KILL_CONN_TIMEOUT","5"
"INNODB_SORT_BUFFER_SIZE","1048576"
"PERFORMANCE_SCHEMA_SETUP_OBJECTS_SIZE","100"
"INNODB_ROLLBACK_SEGMENTS","128"
"BINLOG_FILE_CACHE_SIZE","16384"
"LARGE_FILES_SUPPORT","ON"
"VERSION_COMPILE_MACHINE","x86_64"
"SLAVE_EXEC_MODE","STRICT"
"BIND_ADDRESS","*"
"WSREP_AUTO_INCREMENT_CONTROL","ON"
"MAX_RECURSIVE_ITERATIONS","4294967295"
"INNODB_BACKGROUND_SCRUB_DATA_COMPRESSED","OFF"
"CHARACTER_SET_CONNECTION","latin1"
"GROUP_CONCAT_MAX_LEN","1048576"
"CONNECT_TIMEOUT","10"
"RANGE_ALLOC_BLOCK_SIZE","4096"
"BINLOG_STMT_CACHE_SIZE","32768"
"GTID_SLAVE_POS",""
"CHARACTER_SET_RESULTS","latin1"
"INNODB_TMPDIR",""
"WSREP_CERTIFY_NONPK","ON"
"INNODB_ENCRYPTION_THREADS","0"
"EXPIRE_LOGS_DAYS","0"
"MYISAM_RECOVER_OPTIONS","BACKUP,QUICK"
"LICENSE","GPL"
"RPL_SEMI_SYNC_MASTER_TIMEOUT","10000"
"JOIN_BUFFER_SIZE","262144"
"LOW_PRIORITY_UPDATES","OFF"
"EXPLICIT_DEFAULTS_FOR_TIMESTAMP","OFF"
"REPORT_PASSWORD",""
"COMPLETION_TYPE","NO_CHAIN"
"WSREP_DBUG_OPTION",""
"PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_LONG_SIZE","-1"
"SQL_BIG_SELECTS","ON"
"LARGE_PAGES","OFF"
"TRANSACTION_ALLOC_BLOCK_SIZE","8192"
"THREAD_HANDLING","one-thread-per-connection"
"INNODB_FLUSHING_AVG_LOOPS","30"
"GTID_CURRENT_POS",""
"SYNC_FRM","ON"
"PSEUDO_THREAD_ID","84"
"KEY_CACHE_SEGMENTS","0"
"PERFORMANCE_SCHEMA_MAX_STAGE_CLASSES","160"
"INNODB_SCRUB_LOG","OFF"
"INIT_SLAVE",""
"INNODB_IO_CAPACITY_MAX","2000"
"WSREP_MAX_WS_SIZE","2147483647"
"INNODB_IO_CAPACITY","200"
"MAX_WRITE_LOCK_COUNT","4294967295"
"WSREP_CLUSTER_ADDRESS",""
"MAX_SP_RECURSION_DEPTH","0"
"WSREP_CONVERT_LOCK_TO_TRX","OFF"
"AUTOMATIC_SP_PRIVILEGES","ON"
"LOG_SLOW_SLAVE_STATEMENTS","ON"
"CONCURRENT_INSERT","AUTO"
"INNODB_COMPRESSION_DEFAULT","OFF"
"FT_QUERY_EXPANSION_LIMIT","20"
"INNODB_AUTOEXTEND_INCREMENT","64"
"LOG_QUERIES_NOT_USING_INDEXES","OFF"
"MYISAM_DATA_POINTER_SIZE","6"
"KEY_CACHE_FILE_HASH_SIZE","512"
"RPL_SEMI_SYNC_SLAVE_DELAY_MASTER","OFF"
"PERFORMANCE_SCHEMA_DIGESTS_SIZE","-1"
"SQL_AUTO_IS_NULL","OFF"
"INNODB_FT_TOTAL_CACHE_SIZE","640000000"
"ARIA_USED_FOR_TEMP_TABLES","ON"
"LOCK_WAIT_TIMEOUT","86400"
"GTID_DOMAIN_ID","0"
"DELAY_KEY_WRITE","ON"
"WSREP_RETRY_AUTOCOMMIT","1"
"DELAYED_INSERT_LIMIT","100"
