"VARIABLE_NAME","VARIABLE_VALUE"
"PERFORMANCE_SCHEMA_MAX_FILE_HANDLES","32768"
"PERFORMANCE_SCHEMA","OFF"
"SQL_MODE","STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION"
"SYSTEM_VERSIONING_ALTER_HISTORY","ERROR"
"WSREP_NODE_NAME","fv-az361-480"
"PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_SIZE","-1"
"MAX_RELAY_LOG_SIZE","1073741824"
"PERFORMANCE_SCHEMA_MAX_COND_CLASSES","90"
"PERFORMANCE_SCHEMA_MAX_COND_INSTANCES","-1"
"INNODB_FLUSH_LOG_AT_TIMEOUT","1"
"PERFORMANCE_SCHEMA_MAX_RWLOCK_INSTANCES","-1"
"INNODB_ENCRYPT_TEMPORARY_TABLES","OFF"
"PERFORMANCE_SCHEMA_MAX_PREPARED_STATEMENTS_INSTANCES","-1"
"PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES","50"
"RPL_SEMI_SYNC_SLAVE_TRACE_LEVEL","32"
"SSL_CAPATH",""
"PERFORMANCE_SCHEMA_MAX_MUTEX_INSTANCES","-1"
"SLAVE_TYPE_CONVERSIONS",""
"EVENT_SCHEDULER","OFF"
"INNODB_STATS_TRANSIENT_SAMPLE_PAGES","8"
"GTID_IGNORE_DUPLICATES","OFF"
"SLOW_LAUNCH_TIME","2"
"PERFORMANCE_SCHEMA_MAX_RWLOCK_CLASSES","50"
"OPTIMIZER_SELECTIVITY_SAMPLING_LIMIT","100"
"RPL_SEMI_SYNC_SLAVE_KILL_CONN_TIMEOUT","5"
"INNODB_ADAPTIVE_HASH_INDEX_PARTS","8"
"PERFORMANCE_SCHEMA_ACCOUNTS_SIZE","-1"
"THREAD_POOL_OVERSUBSCRIBE","3"
"PERFORMANCE_SCHEMA_SETUP_OBJECTS_SIZE","-1"
"INNODB_BUFFER_POOL_CHUNK_SIZE","134217728"
"MAX_SP_RECURSION_DEPTH","0"
"INNODB_FT_NUM_WORD_OPTIMIZE","2000"
"PERFORMANCE_SCHEMA_MAX_INDEX_STAT","-1"
"WSREP_DRUPAL_282555_WORKAROUND","OFF"
"PERFORMANCE_SCHEMA_MAX_MUTEX_CLASSES","210"
"TMP_MEMORY_TABLE_SIZE","16777216"
"MAX_LENGTH_FOR_SORT_DATA","1024"
"REPORT_HOST",""
"PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_SIZE","-1"
"INNODB_SORT_BUFFER_SIZE","1048576"
"PERFORMANCE_SCHEMA_MAX_STAGE_CLASSES","160"
"PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_SIZE","-1"
"DEFAULT_TMP_STORAGE_ENGINE",""
"LARGE_FILES_SUPPORT","ON"
"PERFORMANCE_SCHEMA_SETUP_ACTORS_SIZE","-1"
"SQL_LOG_OFF","OFF"
"PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_SIZE","-1"
"WSREP_AUTO_INCREMENT_CONTROL","ON"
"DEFAULT_STORAGE_ENGINE","InnoDB"
"INNODB_BACKGROUND_SCRUB_DATA_COMPRESSED","OFF"
"DELAYED_INSERT_LIMIT","100"
"GROUP_CONCAT_MAX_LEN","1048576"
"BINLOG_FILE_CACHE_SIZE","16384"
"RANGE_ALLOC_BLOCK_SIZE","4096"
"SLOW_QUERY_LOG","OFF"
"VERSION_COMMENT","shogo82148/actions-setup-mysql@v1.23.0"
"BIND_ADDRESS","*"
"INNODB_TMPDIR",""
"PERFORMANCE_SCHEMA_EVENTS_TRANSACTIONS_HISTORY_SIZE","-1"
"INNODB_ENCRYPTION_THREADS","0"
