"POOL_ID","LRU_POSITION","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","COMPRESSED","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","0","10","0","FILE_SPACE_HEADER","0","0","0","301109290","1","78448","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","1","10","2","INODE","0","0","0","301109290","1","78448","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","2","0","0","FILE_SPACE_HEADER","0","0","0","301122364","1","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","3","0","444","UNDO_LOG","0","0","0","243264770","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","4","0","198","SYSTEM","0","0","0","244673457","0","100395","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","5","0","459","UNDO_LOG","0","0","0","244673457","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","6","0","199","SYSTEM","0","0","0","246082308","0","100541","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","7","0","474","UNDO_LOG","0","0","0","246082308","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","8","0","200","SYSTEM","0","0","0","247542765","0","100686","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","9","0","489","UNDO_LOG","0","0","0","247542765","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","10","0","201","SYSTEM","0","0","0","249664545","0","100846","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","11","0","3750","INODE","0","0","0","301122364","1","90920","NULL","NULL","0","0","0","0","IO_NONE","NULL","112"
"0","12","0","504","UNDO_LOG","0","0","0","249664545","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","13","0","202","SYSTEM","0","0","0","252271778","0","101041","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","14","0","519","UNDO_LOG","0","0","0","252271778","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","15","0","203","SYSTEM","0","0","0","254495154","0","101232","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","16","10","1903","INDEX","0","0","0","168609248","0","91867","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","17","10","1904","INDEX","0","0","0","168616992","0","91869","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","18","0","3871","UNDO_LOG","0","0","0","154517014","0","91870","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","19","10","1905","INDEX","0","0","0","168624720","0","91870","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","20","10","1906","INDEX","0","0","0","168632448","0","91872","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","21","0","3872","UNDO_LOG","0","0","0","154570815","0","91873","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","22","0","534","UNDO_LOG","0","0","0","254495154","0","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","23","0","204","SYSTEM","0","0","0","256418522","0","101431","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","24","10","1907","INDEX","0","0","0","168640176","0","91873","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","25","5","305","INDEX","0","0","0","15532706","0","79067","`employees`.`employees`","PRIMARY","338","15047","0","0","IO_NONE","NULL","133"
"0","26","10","1908","INDEX","0","0","0","168647904","0","91875","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
