"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","0","0","4018","UNDO_LOG","0","3","0","303016242","303016218","166122","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","1"
"0","1","10","2192","INDEX","0","0","0","173600510","0","166123","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","2"
"0","2","10","2193","INDEX","0","0","0","173608238","0","166125","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","3"
"0","3","0","4019","UNDO_LOG","0","3","0","303016218","303016194","166126","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","4"
"0","4","10","2194","INDEX","0","0","0","173615966","0","166127","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","5"
"0","5","10","2195","INDEX","0","0","0","173623694","0","166130","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","6"
"0","6","0","4020","UNDO_LOG","0","3","0","303016194","303016170","166130","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","7"
"0","7","10","2196","INDEX","0","0","0","173631422","0","166132","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","8"
"0","8","10","2197","INDEX","0","0","0","173639150","0","166134","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","9"
"0","9","0","4021","UNDO_LOG","0","3","0","303016170","303016146","166134","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","10"
"0","10","10","2198","INDEX","0","0","0","173646894","0","166136","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","11"
"0","11","10","2199","INDEX","0","0","0","173654622","0","166138","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","12"
"0","12","0","4022","UNDO_LOG","0","3","0","303016146","303016122","166138","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","13"
"0","13","10","2200","INDEX","0","0","0","173662350","0","166140","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","14"
"0","14","10","2201","INDEX","0","0","0","173670078","0","166142","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","15"
"0","15","0","4023","UNDO_LOG","0","3","0","303016122","303016098","166142","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","16"
"0","16","10","2202","INDEX","0","0","0","173679691","0","166145","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","17"
"0","17","0","4024","UNDO_LOG","0","3","0","303016098","303016074","166147","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","18"
"0","18","10","2203","INDEX","0","0","0","173699794","0","166147","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","19"
"0","19","10","2204","INDEX","0","0","0","173720879","0","166149","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","20"
"0","20","0","4025","UNDO_LOG","0","3","0","303016074","303016044","166150","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","21"
"0","21","10","2205","INDEX","0","0","0","173741092","0","166151","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","22"
"0","22","0","4026","UNDO_LOG","0","3","0","303017532","303016754","166231","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","23"
"0","23","10","2206","INDEX","0","0","0","173760070","0","166232","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","24"
"0","24","10","2207","INDEX","0","0","0","173779281","0","166234","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","25"
"0","25","0","4027","UNDO_LOG","0","3","0","303017452","303017428","166235","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","1","26"
"0","26","10","2208","INDEX","0","0","0","173787359","0","166235","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","1","27"
