"NAME","SUBSYSTEM","COUNT","MAX_COUNT","MIN_COUNT","AVG_COUNT","COUNT_RESET","MAX_COUNT_RESET","MIN_COUNT_RESET","AVG_COUNT_RESET","TIME_ENABLED","TIME_DISABLED","TIME_ELAPSED","TIME_RESET","STATUS","TYPE","COMMENT"
"metadata_table_handles_opened","metadata","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of table handles opened"
"metadata_table_handles_closed","metadata","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of table handles closed"
"metadata_table_reference_count","metadata","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Table reference counter"
"metadata_mem_pool_size","metadata","8388608","8388608","8388608","NULL","8388608","8388608","8388608","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","value","Size of a memory pool InnoDB uses to store data dictionary and internal data structures in bytes"
"lock_deadlocks","lock","0","NULL","NULL","0","0","NULL","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","counter","Number of deadlocks"
"lock_timeouts","lock","0","NULL","NULL","0","0","NULL","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","counter","Number of lock timeouts"
"lock_rec_lock_waits","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of times enqueued into record lock wait queue"
"lock_table_lock_waits","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of times enqueued into table lock wait queue"
"lock_rec_lock_requests","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of record locks requested"
"lock_rec_lock_created","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of record locks created"
"lock_rec_lock_removed","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of record locks removed from the lock queue"
"lock_rec_locks","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Current number of record locks on tables"
"lock_table_lock_created","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of table locks created"
"lock_table_lock_removed","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Number of table locks removed from the lock queue"
"lock_table_locks","lock","0","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","disabled","counter","Current number of table locks on tables"
"lock_row_lock_current_waits","lock","0","0","NULL","0","0","0","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of row locks currently being waited for (innodb_row_lock_current_waits)"
"lock_row_lock_time","lock","0","0","NULL","0","0","0","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Time spent in acquiring row locks, in milliseconds (innodb_row_lock_time)"
"lock_row_lock_time_max","lock","0","0","0","NULL","0","0","0","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","value","The maximum time to acquire a row lock, in milliseconds (innodb_row_lock_time_max)"
"lock_row_lock_waits","lock","0","0","NULL","0","0","0","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of times a row lock had to be waited for (innodb_row_lock_waits)"
"lock_row_lock_time_avg","lock","0","0","0","NULL","0","0","0","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","value","The average time to acquire a row lock, in milliseconds (innodb_row_lock_time_avg)"
"buffer_pool_size","server","134217728","134217728","134217728","NULL","134217728","134217728","134217728","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","value","Server buffer pool size (all buffer pools) in bytes"
"buffer_pool_reads","buffer","307","307","NULL","7.309523809523809","307","307","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of reads directly from disk (innodb_buffer_pool_reads)"
"buffer_pool_read_requests","buffer","20536889","20536889","NULL","488973.54761904763","20536889","20536889","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of logical read requests (innodb_buffer_pool_read_requests)"
"buffer_pool_write_requests","buffer","8300265","8300265","NULL","197625.35714285713","8300265","8300265","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of write requests (innodb_buffer_pool_write_requests)"
"buffer_pool_wait_free","buffer","0","0","NULL","0","0","0","NULL","NULL","2023-09-09 08:53:06","NULL","42","NULL","enabled","status_counter","Number of times waited for free buffer (innodb_buffer_pool_wait_free)"
